Date,POTUS,VP,TomBrady,BarackObama,justinbieber,katyperry,rihanna,taylorswift13,ladygaga,ArianaGrande,TheEllenShow,jtimberlake,selenagomez,britneyspears,ddlovato,BillGates,shakira,jimmyfallon,neymarjr,KingJames,MileyCyrus,SrBachchan,Oprah,BrunoMars,elonmusk,Drake,KevinHart4real,KylieJenner,wizkhalifa,Harry_Styles,Louis_Tomlinson,LilTunechi,JoeBiden,andrewcuomo,RonDeSantisFL,AndrewYang,tedcruz
2021-03-11,695,715,663,811,700,769,500.0,706,777,815,731,,624,472.0,776,773,738,781,586,721,572,669,833,773,577.0,613.0,859,691,687,,707,620,,,,,
2021-03-12,691,701,680,813,699,769,500.0,706,777,815,722,,655,472.0,775,773,738,784,589,721,570,671,720,773,650.0,613.0,852,676,683,,707,620,,,,,
2021-03-13,704,692,659,813,704,769,500.0,681,777,815,719,,654,472.0,774,773,743,785,588,726,570,678,720,773,949.0,659.0,859,685,691,,707,620,,,,,
2021-03-14,678,691,660,807,736,770,500.0,654,801,754,702,,665,472.0,770,773,743,796,587,731,570,682,798,773,664.0,659.0,858,712,690,,707,620,,,,,
2021-03-15,630,684,657,812,744,758,500.0,644,801,759,702,,666,472.0,771,773,743,793,587,738,570,677,798,776,675.0,659.0,855,694,695,,707,646,,,,,
2021-03-16,698,673,650,813,754,759,530.0,620,801,760,701,,679,472.0,785,773,759,785,592,735,543,676,798,771,790.0,659.0,850,706,719,946.0,707,618,,,,,
2021-03-17,664,684,650,753,755,759,573.0,640,801,760,684,,679,472.0,787,770,762,778,585,721,547,661,799,771,666.0,659.0,850,703,719,946.0,707,618,,,,,
2021-03-18,682,682,631,753,765,759,569.0,640,801,753,695,391.0,684,472.0,773,755,773,754,585,720,547,655,799,771,684.0,659.0,859,697,726,946.0,612,618,,,,,
2021-03-19,655,693,631,753,757,759,569.0,640,801,742,692,391.0,684,472.0,768,743,780,729,579,728,547,655,813,771,728.0,659.0,869,697,719,946.0,699,618,,,,,
2021-03-20,690,732,571,786,767,802,600.0,611,889,853,707,333.0,703,500.0,812,750,797,783,572,792,597,660,864,812,,667.0,894,700,754,1000.0,750,625,,,,,
2021-03-21,696,735,571,773,753,802,500.0,688,889,818,704,333.0,706,500.0,793,764,793,786,572,781,617,667,875,810,,667.0,893,690,757,1000.0,750,625,,,,,
2021-03-22,480,570,357,667,560,699,250.0,500,889,500,579,333.0,500,333.0,595,613,643,658,179,653,379,364,750,648,350.0,667.0,783,524,636,1000.0,632,444,,,,,
2021-03-23,500,572,400,657,558,696,250.0,500,889,500,562,333.0,523,333.0,500,621,643,647,181,667,379,368,750,648,,667.0,771,524,638,1000.0,700,714,,,,,
2021-03-24,510,584,462,650,558,669,200.0,556,889,500,574,250.0,530,333.0,574,621,633,651,171,667,409,384,692,648,488.0,667.0,786,545,638,1000.0,700,714,,,,,
2021-03-25,522,599,462,625,552,664,333.0,556,900,429,571,250.0,545,400.0,557,600,625,655,197,667,417,356,692,648,516.0,600.0,783,524,643,1000.0,700,714,,,,,
2021-03-26,515,597,462,615,580,664,333.0,636,900,429,545,250.0,545,500.0,549,577,645,663,203,651,391,329,600,648,460.0,600.0,776,611,638,1000.0,688,714,,,,,
2021-03-27,700,750,643,737,769,795,562.0,773,900,714,677,400.0,730,625.0,740,688,828,774,589,767,646,636,761,810,638.0,600.0,909,735,765,1000.0,812,900,,,,,
2021-03-28,500,595,385,595,581,664,375.0,600,900,375,532,400.0,565,667.0,553,522,692,659,214,619,423,324,615,643,556.0,667.0,806,600,646,1000.0,688,800,,,,,
2021-03-29,512,605,385,595,607,662,429.0,667,1000,375,526,400.0,565,667.0,545,524,680,671,207,605,429,314,615,643,0.0,667.0,797,588,667,1000.0,688,800,,,,,
2021-03-30,497,600,385,556,602,646,429.0,667,1000,400,515,400.0,565,667.0,566,565,680,667,190,587,444,319,615,657,0.0,667.0,797,556,691,1000.0,688,833,,,,,
2021-03-31,450,606,462,556,607,636,500.0,750,1000,400,520,400.0,547,667.0,582,591,680,658,143,578,444,338,630,662,500.0,667.0,776,550,686,1000.0,675,833,,,,,
2021-04-01,500,596,500,529,612,634,500.0,750,1000,400,510,400.0,556,667.0,592,591,680,658,151,588,529,347,630,691,,667.0,780,500,699,1000.0,684,750,,,,,
2021-04-02,690,756,692,667,780,771,667.0,889,1000,700,668,400.0,703,833.0,812,739,820,768,539,735,721,651,778,833,725.0,667.0,883,674,827,1000.0,803,900,,,,,
2021-04-03,488,596,462,529,621,631,500.0,833,1000,455,495,400.0,577,667.0,632,609,680,631,157,580,474,338,630,691,550.0,667.0,776,522,727,1000.0,684,800,,,,,
2021-04-04,480,598,545,545,622,634,500.0,818,1000,500,510,400.0,583,500.0,641,636,680,625,167,552,459,352,630,704,462.0,1000.0,767,522,757,1000.0,684,800,,,,,
2021-04-05,512,605,545,529,631,642,500.0,818,1000,455,521,400.0,568,500.0,656,619,680,609,184,552,526,357,615,735,583.0,1000.0,766,522,753,1000.0,742,800,,,,,
2021-04-06,684,760,773,677,784,775,667.0,909,1000,727,688,400.0,717,750.0,809,682,808,739,552,733,711,667,760,856,688.0,1000.0,885,708,853,1000.0,848,900,,,,,
2021-04-07,462,594,500,500,634,624,500.0,833,1000,500,500,400.0,591,500.0,652,591,654,597,200,564,541,382,577,800,700.0,1000.0,763,500,747,1000.0,758,800,,,,,
2021-04-08,475,603,500,484,648,624,500.0,769,1000,538,510,400.0,615,333.0,656,550,636,588,227,556,562,394,577,778,600.0,1000.0,780,435,750,1000.0,758,800,,,,,
2021-04-09,667,749,750,661,795,784,667.0,893,1000,769,667,400.0,757,750.0,818,625,841,738,568,717,758,694,750,955,762.0,1000.0,887,652,840,1000.0,848,900,,,,,
2021-04-10,455,587,462,516,644,621,500.0,786,1000,538,542,400.0,645,375.0,680,450,650,632,229,569,581,410,560,833,,1000.0,766,455,730,1000.0,758,800,,,,,
